Date : 2025-10-26 20:16:27
Directory : c:\Users\Saplonily\Home\Projects\CelesteMods
Total : 349 files,  7871 codes, 324 comments, 1117 blanks, all 9312 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| C#            |         75 |      4,812 |        206 |        688 |      5,706 |
| XML           |         64 |      2,408 |        118 |        317 |      2,843 |
| Lua           |         16 |        416 |          0 |         72 |        488 |
| YAML          |         17 |        121 |          0 |         16 |        137 |
| Markdown      |          5 |         58 |          0 |         24 |         82 |
| PowerShell    |          8 |         56 |          0 |          0 |         56 |
| (Unsupported) |        164 |          0 |          0 |          0 |          0 |
+---------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                 |        349 |      7,871 |        324 |      1,117 |      9,312 |
| . (Files)                                                                                                                                                                         |          1 |         35 |          0 |         11 |         46 |
| BeiDanCi                                                                                                                                                                          |         96 |      1,301 |        126 |        221 |      1,648 |
| BeiDanCi (Files)                                                                                                                                                                  |          8 |        414 |          8 |         78 |        500 |
| BeiDanCi\Csv                                                                                                                                                                      |          2 |        434 |        108 |         68 |        610 |
| BeiDanCi\Data                                                                                                                                                                     |          3 |        267 |          8 |         36 |        311 |
| BeiDanCi\ModFolder                                                                                                                                                                |         78 |          6 |          0 |          1 |          7 |
| BeiDanCi\ModFolder\Dialog                                                                                                                                                         |         77 |          0 |          0 |          0 |          0 |
| BeiDanCi\ModFolder\Dialog\Fonts                                                                                                                                                   |         76 |          0 |          0 |          0 |          0 |
| BeiDanCi\UI                                                                                                                                                                       |          5 |        180 |          2 |         38 |        220 |
| BetterFreezeFrames                                                                                                                                                                |         15 |        509 |         20 |         75 |        604 |
| BetterFreezeFrames (Files)                                                                                                                                                        |         11 |        365 |         20 |         52 |        437 |
| BetterFreezeFrames\ModFolder                                                                                                                                                      |          2 |         17 |          0 |          1 |         18 |
| BetterFreezeFrames\ModFolder\Dialog                                                                                                                                               |          1 |          0 |          0 |          0 |          0 |
| BetterFreezeFrames\Modules                                                                                                                                                        |          2 |        127 |          0 |         22 |        149 |
| BitsHelper                                                                                                                                                                        |         64 |      1,147 |         38 |        179 |      1,364 |
| BitsHelper (Files)                                                                                                                                                                |          3 |          7 |          0 |          0 |          7 |
| BitsHelper\BitsHelper                                                                                                                                                             |         61 |      1,140 |         38 |        179 |      1,357 |
| BitsHelper\BitsHelper (Files)                                                                                                                                                     |          5 |        184 |          5 |         31 |        220 |
| BitsHelper\BitsHelper\Entities                                                                                                                                                    |         10 |        685 |         33 |         84 |        802 |
| BitsHelper\BitsHelper\ModFolder                                                                                                                                                   |         44 |        177 |          0 |         46 |        223 |
| BitsHelper\BitsHelper\ModFolder (Files)                                                                                                                                           |          1 |          8 |          0 |          1 |          9 |
